age,weight
91,26
42,25
108,29
75,24
116,34
110,31
15,28
59,32
72,25
12,28
96,24
40,25
117,26
91,24
95,29
114,26
71,31
57,30
40,26
116,24
70,25
52,24
36,27
17,28
82,33
1,13
115,24
60,30
116,27
24,23
21,27
55,24
53,26
76,31
56,29
54,25
20,28
85,26
54,25
22,23
70,29
49,23
21,24
71,33
61,24
17,22
24,23
103,33
112,33
77,32
94,26
50,33
68,24
36,29
4,22
20,31
34,24
27,24
116,29
77,33
38,32
114,32
78,26
94,24
84,25
75,29
7,26
11,23
111,31
22,23
102,32
53,30
68,32
40,23
64,24
77,29
15,21
16,30
33,28
64,24
81,33
77,30
44,24
45,28
24,25
66,28
37,24
27,25
95,25
107,24
60,23
56,31
84,25
2,17
9,24
84,27
57,27
58,32
102,28
54,30
112,26
83,25
91,34
26,22
75,26
42,24
111,28
73,24
103,34
3,19
59,24
78,24
64,32
12,24
51,31
29,25
9,21
92,33
40,32
8,24
20,28
97,27
76,27
29,31
36,31
88,25
61,32
98,24
50,23
73,27
79,31
2,16
2,19
85,34
88,28
72,29
115,29
10,28
99,24
117,34
15,28
99,30
17,26
60,32
91,26
10,28
20,22
118,24
50,26
104,33
36,24
14,29
93,27
76,30
77,31
94,24
102,30
14,27
37,28
69,30
114,31
36,25
41,31
7,22
61,30
93,26
91,27
36,25
30,32
2,18
25,22
66,32
46,31
103,26
71,32
33,25
94,27
104,32
88,26
114,25
62,25
59,25
22,27
58,32
75,31
102,29
31,25
74,34
11,23
62,27
107,34
90,30
94,29
90,34
84,32
60,27
74,31
2,17
15,26
14,29
38,24
94,29
73,25
92,24
108,31
57,27
92,30
82,29
77,25
49,28
102,25
7,23
1,14
80,26
73,24
120,29
50,23
92,24
32,31
51,27
84,30
9,26
86,27
89,30
89,25
82,32
75,29
87,30
89,26
108,33
51,28
51,28
68,31
57,33
1,19
17,25
35,23
7,25
69,33
35,29
111,29
79,24
41,25
69,27
59,25
9,27
9,25
108,29
56,24
82,27
71,25
77,28
77,24
28,23
17,25
94,28
1,18
40,25
90,33
112,28
87,31
37,30
47,29
61,31
98,34
101,30
25,30
106,30
118,30
99,33
36,25
101,33
42,30
2,18
8,23
100,25
32,23
19,24
61,31
81,31
49,29
108,25
14,29
82,25
69,24
82,26
2,18
89,25
19,27
93,26
15,24
50,29
118,28
46,29
66,24
70,28
51,29
67,26
54,28
87,32
