age,weight
96,79
99,72
69,75
58,76
62,70
117,83
99,83
109,80
31,66
87,69
120,71
21,64
14,59
88,82
85,78
101,71
114,71
104,75
33,77
105,81
90,85
93,77
80,83
115,78
45,79
21,69
97,71
109,84
81,70
15,73
33,68
114,72
53,69
43,66
44,79
33,77
28,77
101,80
64,84
1,43
111,75
8,60
37,81
114,85
35,79
113,69
54,75
112,83
93,84
109,72
108,79
13,64
72,75
71,79
22,66
65,70
9,67
13,61
37,72
85,77
31,64
55,69
97,85
32,79
32,80
47,82
1,38
32,71
89,70
82,69
74,77
65,84
63,70
19,70
90,75
33,74
3,54
67,73
80,77
2,49
33,68
88,83
6,56
52,65
104,75
49,76
55,82
117,79
103,78
14,74
45,70
37,65
11,60
85,70
55,82
62,78
96,78
115,71
103,69
111,81
50,66
19,75
10,64
40,75
120,77
7,63
9,67
86,81
46,76
26,66
17,62
18,71
40,72
51,81
100,83
75,77
77,75
4,62
50,68
88,75
41,79
15,73
41,68
95,71
113,85
40,74
100,85
72,78
95,74
18,75
84,83
8,68
9,58
7,66
114,70
10,61
35,67
11,57
52,77
2,49
76,80
37,66
63,67
43,82
86,74
58,76
72,76
38,67
72,73
42,75
26,76
83,81
116,79
1,39
59,68
16,61
74,73
68,72
24,71
72,67
103,73
21,71
66,71
107,84
88,71
116,76
92,76
43,65
19,68
44,73
57,76
107,84
88,77
30,69
68,70
79,71
40,81
83,68
9,61
117,71
67,67
70,67
26,66
49,70
109,83
7,64
58,71
8,67
82,77
48,67
5,58
24,66
71,84
63,67
120,76
14,59
22,65
41,66
103,81
106,68
79,75
98,85
25,64
88,78
117,83
110,72
43,69
59,78
63,76
47,80
36,66
40,73
46,71
2,55
63,77
1,45
83,72
59,69
10,65
11,62
19,67
8,69
95,84
53,72
80,80
16,63
120,76
16,73
96,83
37,78
80,75
32,73
2,53
41,66
40,78
21,69
92,84
96,86
108,68
95,82
25,74
114,75
60,73
37,68
57,75
98,71
110,74
64,83
41,70
74,82
10,59
106,74
35,66
78,68
57,79
9,64
16,63
17,67
93,79
8,60
82,81
68,71
91,74
3,53
41,78
1,41
109,76
36,73
26,74
69,83
24,78
75,76
44,82
52,72
1,37
75,71
70,70
23,71
64,81
95,81
3,55
76,70
108,72
14,71
108,78
53,77
86,74
4,58
13,64
66,70
64,76
37,69
14,70
59,83
87,67
44,79
50,81
98,69
5,58
108,81
